Zip Code,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Total No HS Diploma,Total HS Diploma,Total Some College,Total College Degrees,Degree Rate,Average Student Debt,Total educational attainment over 25,Lat,Lng
950,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,18.42,-66.24
1066,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,42.39,-72.61
1199,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,42.103,-72.591
2203,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,42.361,-71.06
2584,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,41.285,-70.099
3754,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,43.4,-72.2
4019,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,43.71,-70.09
4057,23,19.8,0,5278,0,0,0,0,0,0,#DIV/0!,,0,44,-70.8
4271,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,44.24,-70.48
4570,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,43.78,-69.62
4644,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,44.418,-68.251
4741,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,47.4,-69.2
5481,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,44.8,-73.1
5664,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,44.1,-72.7
5740,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,44,-73.2
6020,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,41.85,-72.91
6059,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,41.91,-72.9
6160,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,41.77,-72.67
6243,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,41.846,-71.8
6353,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,41.453,-72.134
7495,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,41.106,-74.161
7820,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.87,-74.83
7870,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.87,-74.83
7961,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.78,-74.49
8320,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,39.4,-75.3
8561,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.2,-74.6
8890,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.5369,-74.5778
10020,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.759,-73.981
10103,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.761,-73.978
10111,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.7591,-73.9776
10112,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.759,-73.98
10115,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.8108,-73.9637
10119,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.751,-73.992
10152,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.7584,-73.9718
10153,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.7639,-73.9733
10154,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.758,-73.972
10165,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.791,-73.966
10167,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.755,-73.975
10168,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.791,-73.966
10169,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.791,-73.966
10170,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.791,-73.966
10171,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.756,-73.974
10172,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.791,-73.966
10173,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.791,-73.966
10174,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.791,-73.966
10177,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.791,-73.966
10199,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.7522,-73.9965
10271,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.7082,-74.0104
10278,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.715,-74.004
10279,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.791,-73.966
10311,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.605,-74.18
10911,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,41.25,-74.09
11351,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.704,-73.832
11359,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.78,-73.77
11371,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.77,-73.87
11424,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.714,-73.828
11425,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.704,-73.832
11451,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.702,-73.795
11556,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.718,-73.594
11973,33,21,0,894,0,0,0,0,0,0,#DIV/0!,,0,40.868,-72.879
12862,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,43.65,-73.9
13290,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,43.07,-76.173
13826,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,42.1,-75.64
15047,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.311,-79.795
15260,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.446,-79.956
15290,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.457,-80.02
15378,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.278,-80.272
15463,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,39.97,-79.884
16802,12776,19.2,0,2627,0,0,0,0,0,0,#DIV/0!,,0,40.81,-77.86
17010,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.3,-76.6
17120,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.266,-76.883
17822,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,41,-76.7
18016,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.621,-75.365
18046,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.5,-75.59
18195,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.585,-75.618
18935,21,0,0,,0,0,0,0,0,0,#DIV/0!,,0,40.5,-75.3
19109,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,39.9497,-75.1636
19112,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,39.89,-75.16
19442,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.13,-75.52
19542,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,40.25,-75.82
19716,1330,19.9,0,3408,0,0,0,0,0,0,#DIV/0!,,0,39.68,-75.75
19735,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,39.806,-75.608
19736,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,39.805,-75.666
20045,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,38.904,-77.032
20053,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,38.904,-77.032
20202,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,38.904,-77.032
20204,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,38.904,-77.032
20228,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,38.904,-77.032
20230,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,38.904,-77.032
20240,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,38.904,-77.032
20245,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,38.904,-77.032
20260,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,38.9,-77.02
20405,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,38.904,-77.032
20418,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,38.904,-77.032
20427,0,0,0,0,0,,0,0,0,0,#DIV/0!,,0,38.904,-77.032
