Zip Code,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
ZCTA5 00601,38.6,13.9,39.3
ZCTA5 00602,40.9,12.7,36.6
ZCTA5 00603,39.1,14.3,36
ZCTA5 00606,34.6,10.1,46
ZCTA5 00610,41.4,11.5,35
ZCTA5 00612,37.7,15.3,35.8
ZCTA5 00616,41,13.2,35.7
ZCTA5 00617,41.3,14.2,35.4
ZCTA5 00622,40.6,16.2,31.7
ZCTA5 00623,35,16.9,37.9
ZCTA5 00624,41.1,12.2,37.2
ZCTA5 00627,44.9,13.3,32.6
ZCTA5 00631,38.9,13,35.3
ZCTA5 00637,34.4,13.7,41.4
ZCTA5 00638,38.9,12.2,38.5
ZCTA5 00641,39.7,14.3,37.6
ZCTA5 00646,44.7,11.7,35.8
ZCTA5 00647,37.8,6.9,40.2
ZCTA5 00650,43.8,13.9,35
ZCTA5 00652,35.4,15.1,37.4
ZCTA5 00653,32.1,11.8,44.6
ZCTA5 00656,36.5,12.8,41.6
ZCTA5 00659,45.8,12.8,32.7
ZCTA5 00660,37.2,15.1,33.8
ZCTA5 00662,40.4,12.3,35.1
ZCTA5 00664,34.6,13.4,42.6
ZCTA5 00667,40.3,13,36.3
ZCTA5 00669,44.7,11.9,34.3
ZCTA5 00670,44.1,14.1,33.6
ZCTA5 00674,39.8,15,34.6
ZCTA5 00676,44.3,11.7,34.2
ZCTA5 00677,36.4,17.4,33.9
ZCTA5 00678,41.7,12.5,36.3
ZCTA5 00680,32.4,13.9,40.7
ZCTA5 00682,30.6,14,45.1
ZCTA5 00683,34.9,15.3,38.2
ZCTA5 00685,44.8,13.3,30.8
ZCTA5 00687,39.1,12.1,41.8
ZCTA5 00688,40.2,10.8,38.8
ZCTA5 00690,39.8,12.3,36.8
ZCTA5 00692,37.6,11.9,39.4
ZCTA5 00693,40.4,10.9,37.9
ZCTA5 00694,39.8,18.2,29.5
ZCTA5 00698,33.6,12.4,44.8
ZCTA5 00703,37.5,9.3,43.2
ZCTA5 00704,36.9,11.7,45.2
ZCTA5 00705,38.2,12.7,40.3
ZCTA5 00707,40.1,9.6,41.3
ZCTA5 00714,34.6,14.4,40.7
ZCTA5 00715,36.6,11.8,40.7
ZCTA5 00716,32.9,14.4,41.3
ZCTA5 00717,27.6,14.6,45.5
ZCTA5 00718,35.9,13,39.9
ZCTA5 00719,38.8,11.9,40.9
ZCTA5 00720,34.7,9.6,46.8
ZCTA5 00723,37.6,11.7,40.3
ZCTA5 00725,34.8,15.9,39.5
ZCTA5 00727,39.2,16.7,35.9
ZCTA5 00728,36.7,10.7,43.1
ZCTA5 00729,37.3,14.4,38.3
ZCTA5 00730,31.4,13.3,43.9
ZCTA5 00731,41,8.6,40.9
ZCTA5 00735,38.7,14.9,33.9
ZCTA5 00736,37.6,13.3,40.5
ZCTA5 00738,33.6,18.8,35.7
ZCTA5 00739,38.9,10.3,42.2
ZCTA5 00740,26.3,15.1,45.1
ZCTA5 00741,40.9,17.3,35.6
ZCTA5 00745,37.4,14.7,38.4
ZCTA5 00751,35.5,12.2,43.5
ZCTA5 00754,39.3,12.1,38.8
ZCTA5 00757,34,14.9,41.3
ZCTA5 00765,30.8,12.7,46.9
ZCTA5 00766,36.8,9.3,44.2
ZCTA5 00767,33.4,14,41.9
ZCTA5 00769,35.9,12.5,42.3
ZCTA5 00771,41.3,13.5,37.2
ZCTA5 00772,27.7,13.2,47
ZCTA5 00773,41.1,15.8,35
ZCTA5 00775,21.7,24.6,43.9
ZCTA5 00777,33.9,15.8,40.8
ZCTA5 00778,43.2,12.6,37.4
ZCTA5 00780,35.4,13.1,39.5
ZCTA5 00782,30.8,10.2,49
ZCTA5 00783,43.2,8.8,39.1
ZCTA5 00784,33.6,13,43.5
ZCTA5 00786,34.9,14.9,28.9
ZCTA5 00791,36.7,15.2,38.1
ZCTA5 00794,34.9,9.2,47.3
ZCTA5 00795,37.7,13.5,39.1
ZCTA5 00901,27.2,13.1,48.4
ZCTA5 00906,13.2,33,53.8
ZCTA5 00907,32.7,16.2,40.2
ZCTA5 00909,24.6,18.5,45.6
ZCTA5 00911,27.3,22.5,39.6
ZCTA5 00912,20.2,22.3,47.9
ZCTA5 00913,15.7,12,64.1
ZCTA5 00915,23.1,16.3,48.4
ZCTA5 00917,25.2,15.8,47.5
ZCTA5 00918,27.4,16,47.2
ZCTA5 00920,30.2,18.3,39.5
ZCTA5 00921,30.8,17.2,42.3
ZCTA5 00923,26.7,13.2,49.5
ZCTA5 00924,27.7,14.2,45.9
ZCTA5 00925,16.3,9.4,64.6
ZCTA5 00926,40.3,11.6,38.3
ZCTA5 00927,39.6,11.8,40.2
ZCTA5 00934,0,100,0
ZCTA5 00936,27.2,6.7,35.5
ZCTA5 00949,35.4,15.4,39
ZCTA5 00950,-,-,-
ZCTA5 00951,-,-,-
ZCTA5 00952,31.8,18.6,41.2
ZCTA5 00953,42,12.6,37.7
ZCTA5 00956,38.7,15.2,35.1
ZCTA5 00957,39.6,14.3,36.9
ZCTA5 00959,36,15.8,38.4
ZCTA5 00960,4.6,10.7,81.4
ZCTA5 00961,35.5,15.2,39.2
ZCTA5 00962,30.7,13.8,44.8
ZCTA5 00965,25.3,20.1,42
ZCTA5 00966,39.1,14.6,35.5
ZCTA5 00968,39.6,26.3,21.7
ZCTA5 00969,40.9,13.6,36
ZCTA5 00971,34.4,16.5,37.8
ZCTA5 00976,40.8,14.7,36
ZCTA5 00979,32.8,19.9,37.2
ZCTA5 00982,31.8,15.7,38.8
ZCTA5 00983,32.6,14.9,40.2
ZCTA5 00985,34.7,16.8,36.6
ZCTA5 00987,39.3,14.7,36.7
ZCTA5 01001,45,13.7,29.7
ZCTA5 01002,29.9,5.4,60.5
ZCTA5 01003,0.3,0.1,99.6
ZCTA5 01005,46.7,18,32.1
ZCTA5 01007,57.7,10.8,27.6
ZCTA5 01008,63.1,10.1,22.9
ZCTA5 01009,33.6,24.7,41.7
ZCTA5 01010,55.9,13,26.2
ZCTA5 01011,56.5,8.6,30.3
ZCTA5 01012,48.3,19.8,26.3
ZCTA5 01013,35.5,10.4,45.4
ZCTA5 01020,46.3,13.3,30.8
ZCTA5 01022,22.8,22.2,43.1
ZCTA5 01026,45.9,20.9,21.8
ZCTA5 01027,46.7,11.7,32.3
ZCTA5 01028,53.2,9.2,28.1
ZCTA5 01029,48.8,8.7,32.5
ZCTA5 01030,55.6,9.2,29.5
ZCTA5 01031,46.5,12,37.6
ZCTA5 01032,67.7,6.8,20.3
ZCTA5 01033,54.7,12.2,24.8
ZCTA5 01034,61.7,7.3,26.2
ZCTA5 01035,47.2,10.3,32.2
ZCTA5 01036,57.8,14.7,21.4
ZCTA5 01037,48.5,5.9,43.4
ZCTA5 01038,59.2,9,25.3
ZCTA5 01039,45.6,16.2,31.1
ZCTA5 01040,33.1,10.3,48.6
ZCTA5 01050,55.6,9.9,29.6
ZCTA5 01053,36.2,18.5,34
ZCTA5 01054,62.3,8.7,24.6
ZCTA5 01056,51.8,8.8,29.7
ZCTA5 01057,52.5,12.7,29.4
ZCTA5 01060,31.8,11.9,50.6
ZCTA5 01062,47.2,11.3,34
ZCTA5 01063,0,0,100
ZCTA5 01066,0,100,0
ZCTA5 01068,55.6,10.4,28.9
ZCTA5 01069,47.3,12.3,31.2
ZCTA5 01070,53.4,13.1,27.2
ZCTA5 01071,60.9,7.7,26
ZCTA5 01072,49,13.7,32.6
ZCTA5 01073,57.8,9.7,24.7
ZCTA5 01074,24.5,31.3,44.2
ZCTA5 01075,39.4,12.6,40.3
ZCTA5 01077,62.8,7.8,21.3
ZCTA5 01079,33.1,15.5,20.6
ZCTA5 01080,44,13.1,36.2
ZCTA5 01081,56.7,10.8,25.1
ZCTA5 01082,47.7,11.9,32.5
ZCTA5 01083,51,10.8,30.7
ZCTA5 01084,59.6,11.5,23.1
ZCTA5 01085,43.9,10.1,37.2
ZCTA5 01086,0,0,100
ZCTA5 01088,37.7,19,36.3
ZCTA5 01089,43.4,13,34.8
ZCTA5 01092,40.1,6.2,36.1
ZCTA5 01093,56.7,10,27.3
ZCTA5 01094,41.4,16.1,20.7
ZCTA5 01095,54.8,10.7,28.1
ZCTA5 01096,56.6,9.7,28.2
ZCTA5 01097,25,0,60.7
ZCTA5 01098,46.7,14.8,28.3
ZCTA5 01103,22,17.2,51.2
ZCTA5 01104,29.8,13.4,45.9
ZCTA5 01105,20.7,14.2,54.1
ZCTA5 01106,61.5,6.8,24.5
ZCTA5 01107,27.6,10.2,54
ZCTA5 01108,31,12.3,50.3
ZCTA5 01109,22.6,10.2,58.7
ZCTA5 01118,45.2,8.9,36.9
ZCTA5 01119,33.5,9.7,47
ZCTA5 01128,55.9,8.6,26.9
ZCTA5 01129,48.3,9.5,33.3
ZCTA5 01151,30,12.6,47.6
ZCTA5 01199,-,-,-
ZCTA5 01201,42.7,13.8,34.6
ZCTA5 01220,49.1,13,30.9
ZCTA5 01222,43.2,24.2,27.1
ZCTA5 01223,56.5,13.8,24.4
ZCTA5 01224,53.6,27.3,19.1
ZCTA5 01225,55,14.1,24.3
ZCTA5 01226,47.6,16.2,26.3
ZCTA5 01229,25.6,37.2,9.3
ZCTA5 01230,41.2,14.4,35.5
ZCTA5 01235,55,11.9,26.6
ZCTA5 01236,49.6,8.2,32.6
ZCTA5 01237,61.4,11.8,21.4
ZCTA5 01238,52.5,11.4,27.9
ZCTA5 01240,49.8,10.1,25.9
ZCTA5 01242,47.3,15.2,33.5
ZCTA5 01243,75,9.6,9.6
ZCTA5 01244,50,10.2,21.4
ZCTA5 01245,56.9,11.7,26.3
ZCTA5 01247,38.9,15.9,35.8
