Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Total No HS Diploma,No HS Diploma Rate,Total HS Diploma,HS Diploma Rate,Total Some College,Some College Rate,Total College Degrees,College Degree Rate,Total educational attainment over 25,Never Married,Never Married Rate,Married,Married Rate,Widowed,Widowed Rate,Divorced,Divorced Rate,Over 15 Marital Status
"Abbeville County, South Carolina",24788.0,43.7,35254.0,19234.0,5474.0,22.083266096498306,3687,21.548801870251317,5864,34.27235534774986,3264,19.07656341320865,4295,25.10227936879018,17110.0,6396,31.207611612588437,9887,48.241034398633815,2010,9.807270065869725,2202,10.744083922908027,20495.0
"Acadia Parish, Louisiana",62607.0,35.8,40492.0,21591.0,13196.0,21.077515293816987,8984,22.352150872042394,16381,40.755853009230464,7384,18.371358196700918,7444,18.52063792202622,40193.0,14969,30.76875642343268,24605,50.57553956834533,3280,6.742034943473793,5796,11.913669064748202,48650.0
"Accomack County, Virginia",32840.0,46.0,42260.0,24266.0,6416.0,19.53714981729598,4199,17.82409372612276,9193,39.02283725273792,4073,17.289243569063586,6093,25.86382545207573,23558.0,7003,25.85373057186104,15458,57.06796618303983,2285,8.435781001956657,2341,8.642522243142468,27087.0
"Ada County, Idaho",435117.0,36.4,60151.0,31642.0,50474.0,11.60009836434798,15350,5.3045539682210565,64701,22.358954156213066,73533,25.411059735843576,135790,46.9254321397223,289374.0,104669,30.255265888718984,184610,53.362740025379175,14724,4.256069466083543,41950,12.1259246198183,345953.0
"Adair County, Iowa",7192.0,45.7,49477.0,28861.0,661.0,9.190767519466073,309,5.980259338107219,2323,44.95838978130443,1096,21.211534739694212,1439,27.849816140894134,5167.0,1243,21.007267196214297,3598,60.80784181172891,477,8.061517660976847,599,10.12337333107994,5917.0
"Adair County, Kentucky",19304.0,40.8,36575.0,18408.0,3860.0,19.995855781185245,2966,23.06197029779955,4823,37.500971930643026,2077,16.14959956457507,2995,23.28745820698235,12861.0,4595,28.474933382908844,8248,51.112350498853566,1474,9.134287661895025,1820,11.278428456342567,16137.0
"Adair County, Missouri",25437.0,27.3,38750.0,21778.0,5943.0,23.363604198608325,1272,9.47415462535379,4782,35.61745866229703,2393,17.82362580068524,4979,37.084760911663935,13426.0,9727,44.822819224920515,8918,41.09488042025713,1352,6.2301276438873785,1704,7.852172710934981,21701.0
"Adair County, Oklahoma",22136.0,37.2,33366.0,16576.0,6744.0,30.46620889049512,2947,20.586797066014668,6185,43.206426825008734,2584,18.050995459308417,2599,18.15578064966818,14315.0,4546,26.31091561523324,9108,52.71443454103484,1224,7.084153258478991,2400,13.890496585252924,17278.0
"Adams County, Colorado",487850.0,33.4,64087.0,27487.0,59050.0,12.104130367940966,54006,17.388196657973534,87917,28.306449016388164,69788,22.469493544544257,98879,31.835860781094045,310590.0,122090,32.61142481662918,191867,51.24953923574569,15787,4.2168610335009005,44634,11.922174914124227,374378.0
"Adams County, Idaho",3946.0,52.8,42727.0,24315.0,541.0,13.710086163203243,330,10.851693521867807,1132,37.2245971719829,768,25.254850378165077,811,26.668858927984218,3041.0,500,14.810426540284361,1998,59.182464454976305,308,9.123222748815166,570,16.88388625592417,3376.0
"Adams County, Illinois",66787.0,41.5,48454.0,27256.0,8513.0,12.746492580891491,3833,8.303546283659365,16092,34.860596607525835,11479,24.86731223327051,14757,31.968544875544293,46161.0,14203,26.231415643180352,29831,55.09465324591375,4191,7.740326899990765,5920,10.933604210915135,54145.0
"Adams County, Indiana",35018.0,33.3,48290.0,21534.0,6448.0,18.41338740076532,3450,16.387991639749192,8558,40.651719551586545,4068,19.32357970739122,4976,23.636709101273038,21052.0,6579,25.60719290051378,14618,56.89708858788728,1885,7.336914214541491,2610,10.15880429705745,25692.0
"Adams County, Iowa",3785.0,47.7,49745.0,27022.0,418.0,11.043593130779392,171,6.24315443592552,1076,39.28441036874772,681,24.863088718510408,811,29.609346476816356,2739.0,647,20.684143222506393,1921,61.41304347826087,292,9.335038363171355,268,8.567774936061381,3128.0
"Adams County, Mississippi",31583.0,40.3,30359.0,17721.0,9950.0,31.504290282747046,4466,20.459022401392644,7587,34.75651656053873,4368,20.010078336158323,5408,24.7743827019103,21829.0,9971,39.01475134014164,10461,40.93203427632351,1989,7.782603591970888,3136,12.270610791563955,25557.0
"Adams County, Nebraska",31564.0,37.9,51721.0,28085.0,3698.0,11.715878849322012,2047,10.035789576898564,6048,29.651419326371524,5107,25.037995783693678,7195,35.274795313036236,20397.0,7292,28.80960847062542,13497,53.32464146023468,1705,6.73620165145589,2817,11.129548417684012,25311.0
"Adams County, North Dakota",2368.0,45.3,54700.0,35933.0,212.0,8.952702702702704,74,4.389086595492289,568,33.68920521945433,396,23.487544483985765,648,38.43416370106761,1686.0,382,19.234642497482376,1311,66.01208459214502,178,8.962739174219536,115,5.790533736153072,1986.0
"Adams County, Ohio",27926.0,42.2,36320.0,20248.0,6537.0,23.408293346702,3991,21.025181751132653,8645,45.54314613844695,2856,15.045832894320935,3490,18.385839216099463,18982.0,5406,24.1857551896922,11969,53.54778095919828,1749,7.824803149606299,3228,14.44166070150322,22352.0
"Adams County, Pennsylvania",101589.0,43.3,62661.0,29685.0,8548.0,8.414296823474983,8085,11.409661167638053,29431,41.533424591806494,11721,16.54083346269457,21624,30.516080777860882,70861.0,22581,26.694644757063486,48811,57.70303818418253,5327,6.2974346849509395,7871,9.30488237380305,84590.0
"Adams County, Washington",19261.0,28.4,48131.0,18415.0,4393.0,22.807746222937542,3675,34.77150156116946,2749,26.01002933106254,1879,17.778408553316304,2266,21.440060554451698,10569.0,4382,32.492955657719115,7482,55.47975678481388,551,4.08571852291265,1071,7.941569034554352,13486.0
"Adams County, Wisconsin",20111.0,52.6,44003.0,24874.0,2457.0,12.217194570135746,2040,12.755580566497843,6840,42.76871131119865,3777,23.61658225473645,3336,20.85912586756706,15993.0,4195,23.73946013242035,9516,53.8509422217192,1529,8.652594646596118,2431,13.757002999264332,17671.0
"Addison County, Vermont",36825.0,43.4,61875.0,31051.0,2638.0,7.163611676849966,1824,7.236085214424564,7881,31.26512476692982,4154,16.47954933153489,11348,45.019240687110724,25207.0,10072,31.930002536139995,16162,51.23636824752727,1586,5.027897539944205,3724,11.805731676388536,31544.0
"Adjuntas Municipio, Puerto Rico",18525.0,39.5,11680.0,7117.0,11849.0,63.96221322537112,4643,36.84043481710704,3116,24.724271998730458,1824,14.47274458462271,3020,23.962548599539794,12603.0,5950,39.14216169988817,6149,40.45128609959871,1002,6.591671600552596,2100,13.81488059996053,15201.0
"Aguada Municipio, Puerto Rico",39470.0,41.0,16199.0,9001.0,20558.0,52.08512794527489,9483,34.24825743074867,6360,22.969410235111415,2849,10.289284553432772,8997,32.493047780707144,27689.0,12152,36.6079228799518,14651,44.13616508510318,2183,6.576291610182257,4209,12.679620424762767,33195.0
"Aguadilla Municipio, Puerto Rico",55722.0,40.6,16821.0,10872.0,27928.0,50.12023976167402,11333,29.214786553928647,10783,27.796968447102493,4773,12.30408331614766,11903,30.6841616828212,38792.0,16732,36.04713790206174,19741,42.52967662709783,3408,7.342137578904281,6536,14.081047891936144,46417.0
"Aguas Buenas Municipio, Puerto Rico",26855.0,40.4,16733.0,10615.0,12910.0,48.07298454663936,6113,33.10229057237234,5389,29.18178372231548,2352,12.736232197974765,4613,24.979693507337412,18467.0,9634,43.38271716125546,8918,40.15850857837619,1571,7.074345926959967,2084,9.384428333408385,22207.0
"Aibonito Municipio, Puerto Rico",24008.0,40.7,18387.0,10224.0,11806.0,49.17527490836388,4312,25.766357932476847,5887,35.17777113833284,2072,12.381236928592768,4464,26.674634000597553,16735.0,8042,40.26032540675845,7904,39.5694618272841,1497,7.494367959949938,2532,12.675844806007511,19975.0
"Aiken County, South Carolina",165707.0,41.0,47713.0,26222.0,27183.0,16.404255704345623,15950,13.84909264565425,36457,31.654944864113922,23858,20.71546409655292,38905,33.78049839367891,115170.0,38085,28.093120007081367,72565,53.52703829102953,9888,7.2938104405939495,15029,11.086031261295153,135567.0
"Aitkin County, Minnesota",15841.0,54.5,45860.0,26883.0,1895.0,11.962628621930433,1075,8.712919435889123,4774,38.69346733668342,3052,24.7365861565894,3437,27.857027070838058,12338.0,2313,16.90171720862258,8748,63.92400438436244,1080,7.891852393131166,1544,11.282426013883814,13685.0
