Zip Code,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
00601,18970,2094,11346,14095,13631,21481,34861,24.7,11.4,14.6,6.2,15.1,3.1,38.6,13.9,39.3
00602,24179,1772,7483,10600,13981,20086,27471,23.5,10.7,10.4,13.3,13.4,5.8,40.9,12.7,36.6
00603,27627,2135,10459,12418,15709,24563,36667,18.7,10.8,13.1,7.0,16.7,6.1,39.1,14.3,36
00606,16739,1970,6885,11519,12969,19209,-,30.4,19.0,3.8,5.7,7.4,2.6,34.6,10.1,46
00610,25085,1468,9500,15063,14959,23597,34375,22.7,9.9,10.6,10.3,11.8,3.4,41.4,11.5,35
00612,25454,1472,11268,15421,18072,21938,32338,15.4,8.5,13.5,9.6,17.2,6.1,37.7,15.3,35.8
00616,23073,3776,-,16403,14036,18973,39631,21.0,10.6,12.2,10.0,15.7,3.5,41,13.2,35.7
00617,22839,1758,-,14505,19754,20828,27862,17.1,9.2,10.9,11.9,15.1,3.5,41.3,14.2,35.4
00622,32910,10194,16321,16111,15231,19071,57989,22.3,13.7,12.1,4.9,16.4,5.8,40.6,16.2,31.7
00623,24124,1510,11469,13380,15089,22504,40632,17.7,11.2,10.1,8.8,20.2,6.2,35,16.9,37.9
00624,23157,1526,8125,12093,14736,21086,30365,16.6,11.0,9.5,11.6,17.2,3.7,41.1,12.2,37.2
