Zip Code,Lat,Lng
00601,,
00602,18.36,-67.18
00603,18.45,-67.11
00606,18.2,-66.9
00610,18.28,-67.13
00612,18.4,-66.68
00616,18.4,-66.68
00617,18.44,-66.56
00622,18.0,-67.16
00623,18.1,-67.2
00624,,
00627,18.42,-66.86
00631,,
00637,,
00638,18.3,-66.5
00641,18.2,-66.7
00646,,
00647,17.98,-66.92
00650,18.38,-66.56
00652,18.46,-66.64
00653,17.98,-66.92
00656,18.04,-66.79
00659,18.41,-66.8
00660,18.13,-67.12
00662,,
00664,18.23,-66.59
00667,,
00669,18.3,-66.9
00670,18.24,-66.99
00674,18.42,-66.49
00676,,
00677,18.34,-67.23
00678,18.43,-66.93
00680,18.2,-67.5
00682,18.2,-67.5
00683,18.11,-67.04
00685,18.32,-66.97
00687,18.32,-66.42
00688,18.38,-66.62
00690,18.49,-67.1
00692,18.41,-66.34
00693,18.42,-66.4
00694,18.42,-66.4
00698,18.1,-66.9
00703,18.25,-66.13
00704,17.96,-66.26
00705,18.13,-66.27
00707,18.02,-65.92
00714,18.0,-66.06
00715,18.0,-65.96
00716,18.0,-66.6
00717,18.0,-66.6
00718,18.23,-65.74
00719,18.29,-66.26
00720,18.22,-66.45
00723,,
00725,18.2,-66.1
00727,18.2,-66.1
00728,18.0,-66.6
00729,18.33,-65.88
00730,18.0,-66.6
00731,18.0,-66.6
00735,18.25,-65.67
00736,18.1,-66.14
00738,18.3,-65.5
00739,18.18,-66.17
00740,,
00741,18.17,-65.75
00745,,
00751,18.03,-66.25
00754,18.15,-65.99
00757,,
00765,18.1,-65.4
00766,18.13,-66.47
00767,18.1,-65.9
00769,18.1,-66.35
00771,18.2,-65.87
00772,18.42,-65.91
00773,18.34,-65.72
00775,18.31,-65.28
00777,18.21,-65.9
00778,18.26,-65.97
00780,18.1,-66.6
00782,18.22,-66.22
00783,18.3,-66.33
00784,18.01,-66.14
00786,18.16,-66.23
00791,18.14,-65.81
00794,18.2,-66.31
00795,18.0,-66.5
00901,18.47,-66.1
00906,18.37,-66.06
00907,18.45,-66.08
00909,18.441,-66.068
00911,18.45,-66.05
00912,18.44,-66.06
00913,18.46,-66.04
00915,18.43,-66.04
00917,18.42,-66.05
00918,18.42,-66.07
00920,18.41,-66.09
00921,18.39,-66.09
00923,,
00924,18.41,-66.01
00925,18.401,-66.05
00926,,
00927,,
00934,18.4,-66.15
00936,18.37,-66.06
00949,,
00950,18.42,-66.24
00951,18.42,-66.24
00952,18.43,-66.19
00953,18.36,-66.26
00956,18.34,-66.17
00957,18.34,-66.17
00959,18.34,-66.17
00960,18.34,-66.17
00961,18.34,-66.17
00962,18.44,-66.14
00965,18.36,-66.11
00966,18.36,-66.11
00968,18.36,-66.11
00969,18.36,-66.11
00971,18.36,-66.11
00976,18.34,-65.99
00979,18.36,-65.97
00982,18.36,-65.97
00983,18.36,-65.97
00985,18.36,-65.97
00987,18.36,-65.97
01001,42.07,-72.63
01002,42.38,-72.52
01003,42.39,-72.53
01005,42.42,-72.12
01007,42.3,-72.4
01008,42.2,-73.0
01009,42.19,-72.31
01010,42.15,-72.2
01011,42.3,-73.0
01012,42.39,-72.84
01013,42.16,-72.6
01020,42.18,-72.56
01022,42.2,-72.56
01026,42.48,-72.93
01027,42.3,-72.7
01028,42.06,-72.5
01029,42.2,-73.09
01030,42.07,-72.68
01031,42.34,-72.17
01032,42.45,-72.83
01033,42.26,-72.5
01034,42.1,-73.0
01035,42.36,-72.59
01036,42.07,-72.42
01037,42.38,-72.19
01038,42.39,-72.61
01039,42.37,-72.7
01040,42.22,-72.64
01050,42.3,-72.9
01053,42.35,-72.71
01054,42.47,-72.49
01056,42.19,-72.46
01057,42.1,-72.33
01060,42.33,-72.63
01062,42.33,-72.69
01063,42.318,-72.638
01066,42.39,-72.61
01068,42.35,-72.05
01069,42.19,-72.31
01070,42.52,-72.93
01071,42.17,-72.85
01072,42.46,-72.42
01073,42.23,-72.74
01074,42.42,-72.11
01075,42.26,-72.58
01077,42.05,-72.77
01079,42.19,-72.31
01080,42.18,-72.37
01081,42.06,-72.23
01082,42.3,-72.3
01083,42.22,-72.18
01084,42.37,-72.87
01085,42.2,-72.8
01086,42.2,-72.8
01088,42.39,-72.65
01089,42.12,-72.64
01092,42.21,-72.25
01093,42.46,-72.62
01094,42.35,-72.142
01095,42.13,-72.43
01096,42.4,-72.8
01097,42.17,-72.85
01098,42.4,-72.95
01103,42.103,-72.591
01104,42.13,-72.57
01105,42.1,-72.58
01106,42.05,-72.57
01107,42.12,-72.6
01108,42.08,-72.56
01109,42.12,-72.55
01118,42.1,-72.52
01119,42.12,-72.51
01128,42.1,-72.49
01129,42.12,-72.49
01151,42.15,-72.51
01199,42.103,-72.591
01201,42.5,-73.3
01220,42.63,-73.13
01222,42.06,-73.32
01223,42.3,-73.1
01224,42.516,-73.193
01225,42.56,-73.15
01226,42.48,-73.15
01229,42.3,-73.33
01230,42.2,-73.3
01235,42.4,-73.1
01236,42.28,-73.37
01237,42.56,-73.23
01238,42.3,-73.22
01240,42.37,-73.28
01242,42.37,-73.27
01243,42.35,-73.0
01244,42.2,-73.3
01245,42.19,-73.23
01247,42.7,-73.1
01253,42.2,-73.1
01254,42.38,-73.37
01255,42.11,-73.12
01256,42.6,-73.02
01257,42.1,-73.37
01258,42.1,-73.46
01259,42.08,-73.24
01260,42.3,-73.2
01262,42.29,-73.31
01264,42.23,-73.21
01266,42.29,-73.37
01267,42.6,-73.3
01270,42.51,-73.05
01301,42.63,-72.59
01330,42.53,-72.81
01331,42.6,-72.2
01337,42.69,-72.58
01338,42.58,-72.8
01339,42.6,-72.9
01340,42.7,-72.7
01341,42.51,-72.7
01342,42.54,-72.62
01343,42.67,-72.99
01344,42.61,-72.43
01346,42.65,-72.83
01347,42.57,-72.48
01349,42.57,-72.49
01350,42.72,-72.95
01351,42.55,-72.51
01354,42.64,-72.51
01355,42.4,-72.3
01360,42.67,-72.45
01364,42.6,-72.3
01366,42.5,-72.2
01367,42.7,-72.92
01368,42.67,-72.19
01370,42.6,-72.8
01373,42.47,-72.61
01375,42.47,-72.55
01376,42.59,-72.54
01378,42.67,-72.34
01379,42.55,-72.41
01420,42.59,-71.81
01430,42.65,-71.92
01431,42.67,-71.84
01432,42.56,-71.57
01434,42.54,-71.61
01436,42.6,-72.09
01438,42.54,-72.07
01440,42.59,-71.99
01450,42.62,-71.58
01451,42.5,-71.58
01452,42.48,-72.01
01453,42.52,-71.77
01460,42.54,-71.49
01462,42.59,-71.72
01463,42.67,-71.59
01464,42.58,-71.64
01467,42.4921,-71.6178
01468,42.54,-72.07
01469,42.66,-71.7
01473,42.56,-71.91
01474,42.67,-71.75
01475,42.66,-72.05
01501,42.2,-71.85
01503,42.38,-71.63
01504,42.04,-71.53
01505,42.35,-71.72
01506,42.2,-72.1
01507,42.13,-71.97
01510,42.41,-71.69
01515,42.21,-72.05
01516,42.05,-71.75
01518,42.11,-72.11
01519,42.2,-71.68
01520,42.34,-71.86
01521,42.06,-72.17
01522,42.39,-71.87
01523,42.47,-71.67
01524,42.24,-71.92
01525,42.12,-71.66
01527,42.19,-71.78
01529,42.04,-71.58
01531,42.32,-72.13
01532,42.32,-71.63
01534,42.14,-71.64
01535,42.27,-72.08
01536,42.23,-71.69
01537,42.17,-71.89
01540,42.12,-71.85
01541,42.46,-71.89
01542,42.2,-71.91
01543,42.38,-71.97
01545,42.29,-71.71
01550,42.07,-72.04
01560,42.18,-71.68
01561,42.443,-71.6868
01562,42.25,-71.99
01564,42.44,-71.78
01566,42.1,-72.08
01568,42.18,-71.6
01569,42.06,-71.64
01570,42.06,-71.85
01571,42.06,-71.94
01581,42.27,-71.61
01583,42.36,-71.78
01585,42.23,-72.18
01588,42.13,-71.66
01590,42.14,-71.76
01602,42.27,-71.85
01603,42.25,-71.84
01604,42.25,-71.76
01605,42.29,-71.8
01606,42.31,-71.8
01607,42.23,-71.79
01608,42.26,-71.8
01609,42.28,-71.83
01610,42.25,-71.81
01611,42.25,-71.88
01612,42.32,-71.93
01701,42.32,-71.43
01702,42.28,-71.44
01718,42.52,-71.429
01719,42.49,-71.52
01720,42.49,-71.44
01721,42.26,-71.47
01730,42.5,-71.28
01731,42.46,-71.28
01740,42.44,-71.6
01741,42.53,-71.35
01742,42.46,-71.36
01745,42.292,-71.5
01746,42.2,-71.44
01747,42.13,-71.54
01748,42.23,-71.53
01749,42.39,-71.54
01752,42.35,-71.55
01754,42.43,-71.45
01756,42.1,-71.54
01757,42.15,-71.52
01760,42.28,-71.35
01770,42.23,-71.37
01772,42.3,-71.54
01773,42.43,-71.32
01775,42.43,-71.51
01776,42.39,-71.42
01778,42.36,-71.36
01801,42.49,-71.16
01803,42.51,-71.2
01810,42.65,-71.17
01821,42.55,-71.26
01824,42.59,-71.35
01826,42.69,-71.31
01827,42.67,-71.5
01830,42.8,-71.06
01832,42.79,-71.13
01833,42.72,-70.98
01834,42.75,-71.01
01835,42.75,-71.09
01840,42.71,-71.16
01841,42.71,-71.16
01843,42.69,-71.16
01844,42.73,-71.19
01845,42.67,-71.08
01850,42.66,-71.3
01851,42.62,-71.34
01852,42.63,-71.3
01854,42.65,-71.35
01860,42.84,-71.01
01862,42.57,-71.29
01863,42.63,-71.39
01864,42.58,-71.08
01867,42.53,-71.1
01876,42.61,-71.23
01879,42.66,-71.43
01880,42.5,-71.07
01886,42.59,-71.44
01887,42.57,-71.17
01890,42.45,-71.15
01901,42.462,-70.946
01902,42.47,-70.94
01904,42.49,-70.97
01905,42.47,-70.97
01906,42.47,-71.01
01907,42.48,-70.91
01908,42.44,-70.92
01913,42.85,-70.95
01915,42.57,-70.86
01921,42.68,-71.03
01922,42.76,-70.92
01923,42.58,-70.96
01929,42.64,-70.78
01930,42.63,-70.69
01937,42.58,-70.95
01938,42.7,-70.8
01940,42.54,-71.03
01944,42.58,-70.76
01945,42.51,-70.84
01949,42.6,-71.01
01950,42.81,-70.87
01951,42.76,-70.85
01952,42.85,-70.86
01960,42.53,-70.97
01966,42.66,-70.61
01969,42.72,-70.89
01970,42.52,-70.91
01982,42.63,-70.86
01983,42.64,-70.94
01984,42.6,-70.87
01985,42.79,-70.97
02019,42.08,-71.47
02021,42.18,-71.12
02025,42.23,-70.82
02026,42.25,-71.18
02030,42.24,-71.29
02032,42.15,-71.22
02035,42.06,-71.23
02038,42.09,-71.41
02043,42.22,-70.88
02045,42.31,-70.89
02047,42.136,-70.691
02048,42.02,-71.22
02050,42.1,-70.7
02052,42.18,-71.31
02053,42.16,-71.43
02054,42.17,-71.36
02056,42.12,-71.33
02061,42.15,-70.82
02062,42.18,-71.2
02066,42.21,-70.77
02067,42.11,-71.19
02071,42.1,-71.27
02072,42.12,-71.1
02081,42.15,-71.26
02090,42.22,-71.2
02093,42.05,-71.37
02108,42.358,-71.064
02109,42.363,-71.054
02110,42.359,-71.054
02111,42.351,-71.061
02113,42.365,-71.055
02114,42.363,-71.066
02115,42.34,-71.1
02116,42.35,-71.08
02118,42.34,-71.07
02119,42.32,-71.08
02120,42.33,-71.1
02121,42.31,-71.08
02122,42.29,-71.05
02124,42.29,-71.07
02125,42.32,-71.0
02126,42.28,-71.09
02127,42.33,-71.04
02128,42.37,-71.02
02129,42.38,-71.06
02130,42.31,-71.12
02131,42.28,-71.12
02132,42.28,-71.16
02134,42.36,-71.13
02135,42.35,-71.15
02136,42.25,-71.13
02138,42.38,-71.13
02139,42.36,-71.1
02140,42.39,-71.13
02141,42.37,-71.08
02142,42.36,-71.08
02143,42.38,-71.1
02144,42.4,-71.12
02145,42.39,-71.09
02148,42.43,-71.05
02149,42.41,-71.05
02150,42.4,-71.03
02151,42.42,-71.0
02152,42.37,-70.97
02155,42.42,-71.11
02163,42.369,-71.125
02169,42.24,-71.01
02170,42.27,-71.02
02171,42.29,-71.01
02176,42.46,-71.06
02180,42.47,-71.1
02184,42.2,-71.01
02186,42.24,-71.08
02188,42.21,-70.96
02189,42.21,-70.93
02190,42.17,-70.95
02191,42.25,-70.94
02199,42.347,-71.083
02203,42.361,-71.06
02210,42.35,-71.04
02215,42.34,-71.1
02301,42.08,-71.04
02302,42.09,-71.0
02322,42.13,-71.05
02324,41.97,-70.98
02330,41.9,-70.8
02332,42.05,-70.71
02333,42.03,-70.94
