State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Total No HS Diploma,No High School Diploma Rate,Total HS Diploma,HS Diploma Rate,Total Some College,Some College Rate,Total College Degrees,College Degree Rate,Total educational attainment over 25,Never Married,Never Married Rate,Married,Married Rate,Widowed,Widowed Rate,Divorced,Divorced Rate,Over 15 Marital Status
Alabama,4850771.0,38.7,46472.0,25746.0,849699.0,17.51678238366643,481059,14.681485925966168,1012551,30.902141433427015,712204,21.735822430131872,1070823,32.68055021047495,3276637.0,1197758,30.38944405512612,1979275,50.21804645196255,280457,7.115738163609432,483872,12.276771329301901,3941362.0
Alaska,738565.0,33.9,76114.0,35065.0,73380.0,9.935482997434214,36177,7.609130030582069,131293,27.614935155076747,129941,27.330568187076448,178031,37.44536662726474,475442.0,198336,34.0693941283477,294776,50.63548586024636,21707,3.7287448488627564,67334,11.56637516254318,582153.0
Arizona,6809946.0,37.2,53510.0,27964.0,1128046.0,16.564683479134782,609649,13.499233311375223,1091339,24.16511760505295,1143553,25.321272979900026,1671634,37.0143761036718,4516175.0,1807995,33.10126984365282,2681012,49.08470524867123,301048,5.511669603008855,671956,12.302355304667092,5462011.0
Arkansas,2977944.0,37.9,43813.0,24426.0,524211.0,17.603118124450962,286117,14.408365520679636,681486,34.31847595643,448518,22.586603685220343,569649,28.68655483767002,1985770.0,660401,27.611923449361214,1253607,52.41436720959442,165004,6.898956568567276,312712,13.07475277247709,2391724.0
California,38982847.0,36.1,67169.0,33128.0,5773408.0,14.81012405276608,4543530,17.508234229842003,5345542,20.59874182000737,5586071,21.525606630203335,10475675,40.36741731994729,25950818.0,11553117,36.770353153497695,15330135,48.7915493144227,1568495,4.992082662150428,2967905,9.446014869929177,31419652.0
Colorado,5436519.0,36.5,65458.0,34845.0,612143.0,11.259833728163187,325019,8.859780230324464,791683,21.580699565514514,798224,21.75900244161269,1753551,47.80051776254833,3668477.0,1381304,31.453785521463452,2295701,52.275593841333375,191533,4.361413492093312,522997,11.909207145109853,4391535.0
Connecticut,3594478.0,40.8,73781.0,41365.0,350783.0,9.758941353932338,242500,9.777054925277094,673582,27.157312208981427,422535,17.035661455059618,1141680,46.02997141068187,2480297.0,1021939,34.34023662574603,1463893,49.191225713837355,173962,5.845648560127396,316129,10.622889100289221,2975923.0
Delaware,943732.0,39.8,63036.0,32625.0,111304.0,11.79402627016992,69644,10.689136507351812,203135,31.17767136323173,125964,19.333271940325996,252797,38.799920189090464,651540.0,259074,33.453680532420144,382058,49.3343456960381,47076,6.078824832843939,86218,11.133148938697824,774426.0
District of Columbia,672391.0,33.9,77649.0,50832.0,111025.0,16.51196996985385,46497,9.730601892253313,84119,17.603899188645645,62203,13.017455524094734,285024,59.64804339500631,477843.0,318002,55.80118059113784,174820,30.676418358823902,25305,4.440377339949884,51757,9.082023710088368,569884.0
Florida,20278447.0,41.8,50883.0,28774.0,3070972.0,15.144019657915619,1787348,12.415530742912683,4170468,28.969497639146695,2937324,20.403657499208464,5500926,38.21131411873216,14396066.0,5298244,31.376268043558298,8225019,48.708666646413384,1177656,6.974093741078118,2185232,12.940971568950202,16886151.0
Georgia,10201635.0,36.4,52977.0,28015.0,1679030.0,16.458440240216397,919657,13.738884159821305,1877212,28.043931826133516,1390995,20.78026826511475,2505962,37.43691574893043,6693826.0,2751378,33.84635105026138,4011430,49.347006479498646,449955,5.535166337311835,916261,11.271476132928134,8129024.0
Hawaii,1421658.0,38.8,74923.0,32511.0,143148.0,10.06908834614232,82460,8.377356957087127,273162,27.75134102730819,210452,21.380445383615086,418246,42.4908566319896,984320.0,384785,33.12534488977732,594056,51.14105249383826,72817,6.268664939742752,109945,9.464937676641675,1161603.0
Idaho,1657375.0,35.9,50985.0,25471.0,236000.0,14.239384568972019,103895,9.75253282368656,292202,27.428746293342893,282995,26.56449325221789,386221,36.25422763075265,1065313.0,347284,26.81005133747636,726194,56.061604971629286,66313,5.119311383023893,155559,12.00903230787046,1295350.0
Illinois,12854526.0,37.7,61229.0,32924.0,1698613.0,13.214123959140927,991424,11.44028343152653,2281524,26.327062100403193,1812247,20.911960299461843,3580884,41.32069416860843,8666079.0,3646306,35.0255282589835,5142005,49.392848936796426,612061,5.879309046394268,1010052,9.702313757825811,10410424.0
Indiana,6614418.0,37.5,52182.0,27305.0,933540.0,14.113713406077451,510793,11.690095620708414,1474872,33.75417186278093,904964,20.711160280776692,1478822,33.84457223573396,4369451.0,1632859,30.75365775060039,2693449,50.72906400044147,317187,5.973975977680673,665984,12.543302271277465,5309479.0
Iowa,3118102.0,38.1,56570.0,30063.0,361343.0,11.588556115226506,168645,8.155319805369082,651750,31.517268126237358,440583,21.305673253336455,806936,39.021738815057105,2067914.0,734042,29.224267494242074,1355951,53.98420626215534,156030,6.211991217296273,265732,10.579535026306308,2511755.0
Kansas,2903820.0,36.3,55477.0,29600.0,361285.0,12.441714706834446,179213,9.498548025404654,494849,26.227712229712502,445804,23.62825634255046,766875,40.64548340233238,1886741.0,668984,29.033886263431746,1239588,53.798083370476476,137186,5.953868434723622,258391,11.214161931368153,2304149.0
Kentucky,4424376.0,38.6,46535.0,25888.0,783586.0,17.710655694723958,441659,14.79000562253219,988521,33.10298476424378,625391,20.942710114094876,930628,31.16429949912916,2986199.0,1016773,28.368373445738467,1861107,51.92562980968021,237712,6.63225989334235,468586,13.073736851238973,3584178.0
Louisiana,4663461.0,36.4,46710.0,26205.0,887574.0,19.03251683674421,486085,15.720380107947138,1046025,33.82929035542221,657791,21.27349033931649,902168,29.17683919731416,3092069.0,1320445,35.35515403493947,1723678,46.15179064378781,247896,6.637460299100193,442783,11.855595022172526,3734802.0
Maine,1330158.0,44.3,53024.0,29886.0,166904.0,12.547682305410335,75628,7.869014843624816,310724,32.33050944452421,187812,19.541643515772783,386922,40.25883219607819,961086.0,312940,27.9202558806604,583290,52.040666110533664,69215,6.175306802517766,155390,13.86377120628817,1120835.0
Maryland,5996079.0,38.5,78916.0,39070.0,566966.0,9.455612576151848,417716,10.199571375585501,1027608,25.091596065562882,786290,19.199219031373286,1863813,45.50961352747833,4095427.0,1714269,35.13401400098253,2403569,49.26124598783947,276927,5.675630309624738,484464,9.929109701553257,4879229.0
Massachusetts,6789319.0,39.4,74167.0,39913.0,727546.0,10.71603794136054,458080,9.732848107397881,1162683,24.703582422401528,741582,15.756428932021343,2344191,49.80714053817925,4706536.0,2070617,36.605968955013005,2737356,48.393096721807346,315849,5.583822932233195,532679,9.417111390946452,5656501.0
Michigan,9925568.0,39.6,52668.0,28938.0,1510841.0,15.221708218612779,656683,9.772109169502492,1966110,29.257711192844255,1588068,23.632062752642423,2509111,37.338116885010834,6719972.0,2680315,33.019308974763774,4010026,49.40027104681206,491041,6.049227235708108,936035,11.531192742716064,8117417.0
Minnesota,5490726.0,37.9,65699.0,34712.0,560995.0,10.217137041622546,267049,7.220262774748858,938846,25.38378658980886,795044,21.4957801657652,1697666,45.90017046967708,3698605.0,1397395,31.628495352808145,2354009,53.280398682526084,225262,5.098557043759473,441486,9.992548920906298,4418152.0
Mississippi,2986220.0,36.9,42009.0,22500.0,620007.0,20.762268017761585,325278,16.628895951691653,594140,30.37368724825559,441829,22.58722836908728,594854,30.41018843096548,1956101.0,800994,33.60120814237622,1137647,47.723595482050904,166892,7.001017272660535,278292,11.674179102912337,2383825.0
Missouri,6075300.0,38.4,51542.0,28282.0,861679.0,14.183316050236202,442422,10.79023044922832,1268884,30.946812711254474,917414,22.37481064989614,1471489,35.88814618962107,4100209.0,1488636,30.22919290453565,2525340,51.28116612089192,313699,6.370172147496049,596823,12.119468827076384,4924498.0
Montana,1029862.0,39.8,50801.0,28706.0,144198.0,14.001681778723752,49444,7.02410362555919,206323,29.310616704478782,170126,24.168405739864955,278026,39.496873930097074,703919.0,238204,28.307642578637953,450114,53.4905636834018,49128,5.838264112287474,104037,12.36352962567277,841483.0
Nebraska,1893921.0,36.3,56675.0,29866.0,220330.0,11.633536984911197,112366,9.10700073429175,329232,26.68348135336615,288681,23.396917919798483,503563,40.81259999254361,1233842.0,444895,29.661663885368284,814490,54.30298973464214,85380,5.692383287141334,155134,10.342963092848253,1499899.0
Nevada,2887725.0,37.7,55434.0,28450.0,405263.0,14.033988693521717,278818,14.167415726340597,556851,28.294943707466835,506805,25.751985622119257,625549,31.785654944073315,1968023.0,764531,32.8183768590245,1117226,47.95821739694074,124142,5.328938839671666,323683,13.894466904363101,2329582.0
New Hampshire,1331848.0,42.7,71305.0,36914.0,104470.0,7.843988202857984,67278,7.161264158233729,262891,27.98287546928005,176656,18.80377361302265,432646,46.05208675946357,939471.0,325557,29.118364433695543,598402,53.522079125475045,61288,5.481701574262978,132800,11.877854866566432,1118047.0
New Jersey,8960161.0,39.6,76475.0,39069.0,938252.0,10.471374342492282,666782,10.817887116161902,1722597,27.947454929255954,1026060,16.646821981410838,2748260,44.5878359731713,6163699.0,2516764,34.40827461936464,3727098,50.9555172901729,448651,6.133791971059886,621902,8.502416119402577,7314415.0
New Mexico,2084828.0,37.3,46718.0,25257.0,420293.0,20.159600696076605,207487,15.017551732374079,365014,26.419084704298545,324980,23.52149272960199,484149,35.04187083372538,1381630.0,574879,34.40763615273981,779925,46.68004158514331,101334,6.0650387331973095,214651,12.84728352891957,1670789.0
New York,19798228.0,38.4,62765.0,35752.0,2908471.0,14.690562205870142,1895439,13.875012819518961,3591287,26.288977468318308,2169152,15.878649646591208,6004931,43.95736006557152,13660809.0,6240713,38.237645673227654,7691679,47.12789968617464,973457,5.964495378031833,1415012,8.669959262565866,16320861.0
North Carolina,10052564.0,38.4,50320.0,28123.0,1579871.0,15.716099892524932,889694,13.114500369101162,1771742,26.116295167722868,1468899,21.652249512385527,2653713,39.11695495079044,6784048.0,2549628,31.266707135367806,4227811,51.846672675655626,500595,6.138918014090466,876416,10.747702174886104,8154450.0
North Dakota,745475.0,35.1,61285.0,34256.0,79374.0,10.647439551963513,37462,7.71632783373499,131653,27.117551339883416,110330,22.72549383097489,206045,42.4406269954067,485490.0,191045,31.79695353745165,319500,53.17661626954803,33904,5.642879492966373,56379,9.383550700033954,600828.0
Ohio,11609756.0,39.3,52407.0,29011.0,1683890.0,14.504094659698275,805643,10.213332657213668,2646608,33.55169463055343,1614614,20.468855181506438,2821285,35.76611753072647,7888150.0,3014225,31.910895423393892,4699440,49.75187266661056,603494,6.389049895958555,1128596,11.948182014036993,9445755.0
Oklahoma,3896251.0,36.3,49767.0,26461.0,612714.0,15.725732248769393,318653,12.47912659076526,803755,31.476748666921484,602859,23.609235680762943,828221,32.43488906155032,2553488.0,876758,28.317849497372848,1610860,52.02814350292558,200775,6.48470414052114,407739,13.169302859180423,3096132.0
Oregon,4025127.0,39.2,56119.0,30410.0,587248.0,14.589552081213835,273693,9.781901268534533,655921,23.442888425931386,723165,25.84621685925389,1145174,40.928993446280195,2797953.0,1005059,30.38029972864881,1697522,51.31164156131669,177452,5.36390893216039,428226,12.944149777874102,3308259.0
Pennsylvania,12790505.0,40.7,56951.0,31476.0,1623537.0,12.693298661780752,898982,10.116888981969632,3161786,35.581844738544085,1427444,16.064050755163798,3397741,38.23721552432249,8885953.0,3530983,33.37725994724647,5316392,50.25416371742983,718720,6.793831708984434,1012913,9.574744626339255,10579008.0
Rhode Island,1056138.0,39.9,61043.0,33315.0,136126.0,12.889035334397589,92361,12.665012937754797,203355,27.885078181885497,132266,18.13699073445584,301279,41.312918145903865,729261.0,317819,35.96161005144987,412917,46.722065507771795,54717,6.191295728654303,98320,11.125028712124042,883773.0
South Carolina,4893444.0,39.0,48781.0,26645.0,790657.0,16.157475185166113,447476,13.455492706431107,978521,29.423884585071992,692360,20.81909405247352,1207244,36.30152865602338,3325601.0,1280774,32.11614001697616,2010075,50.403779390137025,267775,6.714611159381587,429321,10.765469433505226,3987945.0
South Dakota,855444.0,36.8,54126.0,28761.0,114885.0,13.429867998372774,48034,8.568243237216935,170912,30.487063083632858,122132,21.785749324390615,219527,39.15894435475959,560605.0,204056,30.11634411173049,361493,53.35225419483764,40687,6.0049383153349005,71323,10.526463378096963,677559.0
Tennessee,6597381.0,38.6,48708.0,27277.0,1072360.0,16.25432880108031,603524,13.476180374906496,1461364,32.63102189373556,934347,20.863178108497358,1479215,33.02961962286059,4478450.0,1588215,29.653194213704865,2762147,51.57140653992202,341442,6.374984456585422,664162,12.400414789787687,5355966.0
Texas,27419612.0,34.3,57051.0,28985.0,4291384.0,15.650783096420183,3005904,17.221437925991403,4372430,25.050544472059844,3857193,22.09864646977034,6218904,35.62937113217841,17454431.0,6940432,32.43951062201648,11084876,51.81060094612777,1089963,5.094476297167805,2279725,10.655412134687943,21394996.0
Utah,2993941.0,30.5,65325.0,26907.0,324856.0,10.850447620711297,143466,8.230556081441579,397812,22.822229489010894,466394,26.756736599946073,735418,42.190477829601456,1743090.0,658007,29.559863702625545,1282548,57.61632334013922,82573,3.7094538895739695,202887,9.114359067661269,2226015.0
Vermont,624636.0,42.8,57808.0,31917.0,68144.0,10.909393630850607,33883,7.737611326786937,129511,29.575473852477735,76013,17.358529344599223,198493,45.3283854761361,437900.0,163730,31.04875107143128,268174,50.85486941812748,29773,5.645968763511412,65655,12.450410746929828,527332.0
Virginia,8365952.0,38.0,68766.0,36268.0,906838.0,10.839627098027815,623937,10.983327069505604,1378738,24.270287540498504,1117556,19.672632119089595,2560534,45.073753270906295,5680765.0,2173298,31.893064143669047,3574834,52.46055076890927,378384,5.552770574002308,687812,10.093614513419372,6814328.0
Washington,7169967.0,37.6,66174.0,34869.0,859950.0,11.993779050865925,448558,9.16162093767329,1101904,22.505956326062513,1174696,23.992704330323086,2170897,44.339718405941106,4896055.0,1786662,30.68222213597595,3062391,52.59022743485535,284990,4.894113428578985,689075,11.833437000589718,5823118.0
West Virginia,1836843.0,42.2,44061.0,24774.0,317089.0,17.262716519593674,182074,14.07427734382549,524710,40.55995949492333,239718,18.53014497570855,347163,26.835618185542625,1293665.0,416118,27.279074295386618,789732,51.77175200650841,118795,7.78773720656269,200766,13.16143649154228,1525411.0
Wisconsin,5763217.0,39.2,56759.0,30557.0,692719.0,12.019658465055194,323799,8.285932602763282,1222791,31.290905201268433,814870,20.852312391371548,1546356,39.57084980459673,3907816.0,1494559,31.840527119409938,2433968,51.853974390958115,263537,5.614470218618293,501825,10.691028271013652,4693889.0
Wyoming,583200.0,37.0,60938.0,31214.0,63398.0,10.87071330589849,28130,7.23848930952583,111594,28.71567636001513,102720,26.432194165463684,146173,37.61364016499535,388617.0,126033,27.000687694552216,256359,54.92108651454549,25081,5.373229614998168,59304,12.704996175904126,466777.0
